Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1998,1,France,7,6,1,0,15,2,13,19
1998,2,Brazil,7,4,1,2,14,10,4,13
1998,3,Croatia,7,5,0,2,11,5,6,15
1998,4,Netherlands,7,3,3,1,13,7,6,12
1998,5,Italy,5,3,2,0,8,3,5,11
1998,6,Argentina,5,3,1,1,10,4,6,10
1998,7,Germany,5,3,1,1,8,6,2,10
1998,8,Denmark,5,2,1,2,9,7,2,7
1998,9,England,4,2,1,1,7,4,3,7
1998,10,FR Yugoslavia,4,2,1,1,5,4,1,7
1998,11,Romania,4,2,1,1,4,3,1,7
1998,12,Nigeria,4,2,0,2,6,9,−3,6
1998,13,Mexico,4,1,2,1,8,7,1,5
1998,14,Paraguay,4,1,2,1,3,2,1,5
1998,15,Norway,4,1,2,1,5,5,0,5
1998,16,Chile,4,0,3,1,5,8,−3,3
1998,17,Spain,3,1,1,1,8,4,4,4
1998,18,Morocco,3,1,1,1,5,5,0,4
1998,19,Belgium,3,0,3,0,3,3,0,3
1998,20,Iran,3,1,0,2,2,4,−2,3
1998,21,Colombia,3,1,0,2,1,3,−2,3
1998,22,Jamaica,3,1,0,2,3,9,−6,3
1998,23,Austria,3,0,2,1,3,4,−1,2
1998,24,South Africa,3,0,2,1,3,6,−3,2
1998,25,Cameroon,3,0,2,1,2,5,−3,2
1998,26,Tunisia,3,0,1,2,1,4,−3,1
1998,27,Scotland,3,0,1,2,2,6,−4,1
1998,28,Saudi Arabia,3,0,1,2,2,7,−5,1
1998,29,Bulgaria,3,0,1,2,1,7,−6,1
1998,30,South Korea,3,0,1,2,2,9,−7,1
1998,31,Japan,3,0,0,3,1,4,−3,0
1998,32,United States,3,0,0,3,1,5,−4,0
